league,season,game,md,match_no,home,away,date,kickoff,venue,attendance,duration,home_goals,away_goals,referee,referee_id,assistant_1,assistant_1_id,assistant_2,assistant_2_id,fourth_official,fourth_official_id,commissioner,commissioner_id,assessor,assessor_id
UPL,2025/26,MBARARA-vs-NEC,5,40,MBARARA,NEC,01/11/2025,04:00,Rwamwanja Stadium –,,1 h 50 min,0,1,Jjumba Solomon,042939M96,Magoola Ashiraf,001373M98,Kyamanywa Tomas Kalangira,042941M95,Twesigye Hillary Paul,055841M99,Nsozi Adam Ssematiko,031987M78,Kimbugwe Hilary Godfrey,036482M73
UPL,2026/27,VIPERS-vs-ENTEBBE,1,1,VIPERS,ENTEBBE,28/08/2026,08:00,St. Mary's Stadium –,1000,1 h 52 min,0,1,Okello Dick,026309M90,Musisi Brianson,031196M95,Katerega Ashiraf,026432M97,Olemu George,026597M90,Kairungi Stellah Otika Salma,031927F80,Kalema Ronnie,000173M80
UPL,2026/27,BLACKS-vs-NTUGASAZE,1,2,BLACKS,NTUGASAZE,29/08/2026,04:00,"Hoima City Stadium,",200,1 h 51 min,1,0,Atiku Rahuman,029306M86,Opolot Shafik,055857M02,,,Tumusiime Gerald Tuge,026772M94,,,,
UPL,2026/27,KCCA-vs-NEC,1,3,KCCA,NEC,29/08/2026,04:00,"MTN Omondi-Lugogo,",2500,1 h 51 min,0,2,Ssemeere Asadu,001317M85,Zziwa Charles Edward,031279M93,MUGERWA INNOCENT,057321M04,Jjumba Solomon,042939M96,Hood Kiwanuka Sumaya,008461F90,Kubingi Margaret Kebba Fatia,000181F72
UPL,2026/27,LUGAZI-vs-KIGEZI,1,4,LUGAZI,KIGEZI,29/08/2026,04:00,"Lugazi FC Stadium, Lugazi",700,1 h 51 min,2,1,Duula Joshua,031939M95,Katenya Ronald,026697M89,Magoola Ashiraf,001373M98,kikabbi Ronald,046512M98,Sewaya Ismail,031964M77,Ssonko Mark,031668M78
UPL,2026/27,POLICE-vs-MBARARA,1,5,POLICE,MBARARA,29/08/2026,04:00,Kira Police Arena –,,0 h 0 min,1,0,,,Mulindwa Hakim,005439M87,Okudra Emmanuel,026307M87,Okello Dick,026309M90,,,,
UPL,2026/27,VILLA-vs-KITARA,1,6,Villa,KITARA,29/08/2026,04:00,"Muteesa II Stadium,",,1 h 49 min,1,1,Olemu George,026597M90,Mafumu Mustapha,000549M93,Happy Badru,031546M99,Samba Hassan,058487M03,Alal Eron,031868M89,Katabira David Davies,031670M57
UPL,2026/27,UPDF-vs-KATAKA,1,7,UPDF,KATAKA,29/08/2026,07:00,"Hamz Stadium-Nakivubo,",,1 h 51 min,0,0,Oloya William,026436M88,Lubwama Ivan,026606M93,Ssentongo Isaac,055844M06,Musisi Henry,026383M86,Nsozi Adam Ssematiko,031987M78,Ssali Mashood,026317M86
UPL,2026/27,BUL-vs-EXPRESS,1,8,BUL,EXPRESS,30/08/2026,04:00,FUFA Technical Centre-,,0 h 0 min,1,0,Kimayo stephen Masaya,026389M84,Azedi Mironso,043967M99,Lulenzi Sharif,026322M94,Nasser Muhammed Kirya,040629M95,Waiswa Ajab,032130M60,Adipo Catherine Wejuli,030053F70
UPL,2026/27,MAROONS-vs-URA,1,9,MAROONS,URA,30/08/2026,04:00,"Muteesa II Stadium,",600,1 h 52 min,1,2,Semakula John,031966M91,Mbabali Samuel,026605M93,Kyamanywa Tomas Kalangira,042941M95,Lubwama Junior Hakim,031342M99,Kaweesa Andrew,000190M78,Nabikko Ssemmambo Aisha,031970F75
UPL,2026/27,ENTEBBE-vs-UPDF,2,10,ENTEBBE,UPDF,01/09/2026,04:00,"Hamz Stadium-Nakivubo,",,1 h 48 min,2,1,Twesigye Hillary Paul,055841M99,Lulenzi Sharif,026322M94,Ssentongo Isaac,055844M06,Miiro Ibrahim,031282M90,Katende Jerome Raymond,031862M87,Ssonko Mark,031668M78
UPL,2026/27,NEC-vs-LUGAZI,2,11,NEC,LUGAZI,01/09/2026,04:00,"MTN Omondi-Lugogo,",1000,1 h 51 min,3,1,Semakula John,031966M91,Mawerere Musa,058307M96,Kinyera Fred,031968M95,Musisi Henry,026383M86,Kabaikaramu Paul,026118M80,Nkono Amin Bbosa,000159M67
UPL,2026/27,BLACKS-vs-POLICE,2,12,BLACKS,POLICE,02/09/2026,04:00,"Hoima City Stadium,",,1 h 50 min,1,0,Masembe Joseph,042866M92,MUGERWA INNOCENT,057321M04,Azedi Mironso,043967M99,Yasir Arafat,031561M98,Gramdks Robert,038090M80,,
UPL,2026/27,NTUGASAZE-vs-MAROONS,2,13,NTUGASAZE,MAROONS,02/09/2026,04:00,Kira Police Arena –,200,1 h 52 min,1,3,Ssemeere Asadu,001317M85,Kinyera Fred,031968M95,Lubwama Junior Hakim,031342M99,Miiro Ibrahim,031282M90,Nsozi Adam Ssematiko,031987M78,Oula David,043951M85
UPL,2026/27,KATAKA-vs-BUL,2,14,KATAKA,BUL,03/09/2026,04:00,BCS Sports Complex –,,0 h 0 min,1,4,Musisi Henry,026383M86,Mbabali Samuel,026605M93,Mukasa Julius,031146M93,Mawerere Musa,058307M96,Alal Eron,031868M89,Kebb Haruna,043952M52
UPL,2026/27,URA-vs-VILLA,2,15,URA,Villa,04/09/2026,08:00,"Hamz Stadium-Nakivubo,",,0 h 0 min,0,1,Kimayo stephen Masaya,026389M84,,,Azedi Mironso,043967M99,Masembe Joseph,042866M92,Kavuma Hassan,000155M79,Batte Denis,031245M76
UPL,2026/27,EXPRESS-vs-KCCA,2,16,EXPRESS,KCCA,03/09/2026,08:00,"Hamz Stadium-Nakivubo,",2000,1 h 50 min,2,0,Atiku Rahuman,029306M86,Zziwa Charles Edward,031279M93,Ssentongo Isaac,055844M06,Semakula John,031966M91,Yenka Daniel,031963M81,Kabwimukya Jackson George,004411M65
UPL,2026/27,MAROONS-vs-BLACKS,3,20,MAROONS,BLACKS,08/09/2026,04:00,"Muteesa II Stadium,",,0 h 0 min,1,2,Nuwagaba Felix,027161M95,Katerega Ashiraf,026432M97,Mafumu Mustapha,000549M93,Jjumba Solomon,042939M96,MASEMBE ISA,001149M85,Nsubuga Faisal Abubaker,000817M72
UPL,2026/27,BUL-vs-NTUGASAZE,3,21,BUL,NTUGASAZE,08/09/2026,04:00,FUFA Technical Centre-,,1 h 46 min,4,1,Samba Hassan,058487M03,Mawerere Musa,058307M96,Azedi Mironso,043967M99,Miiro Ibrahim,031282M90,,,Waiswa Ali Kalibala,031672M64
UPL,2026/27,KIGEZI-vs-KCCA,3,22,KIGEZI,KCCA,08/09/2026,04:00,Rwamwanja Stadium –,,1 h 50 min,0,0,Nasser Muhammed Kirya,040629M95,Magoola Ashiraf,001373M98,Lubwama Ivan,026606M93,,,Kanyesigye Benson,029250M92,Kakooza Emmy John,032457M87
UPL,2026/27,VILLA-vs-EXPRESS,3,23,Villa,EXPRESS,09/09/2026,04:00,"Muteesa II Stadium,",,0 h 0 min,2,0,KASALIRWE LUCKY RAZAKE,005489M97,Okudra Emmanuel,026307M87,Katenya Ronald,026697M89,Okello Dick,026309M90,Ssali Mashood,026317M86,Ssonko Mark,031668M78
UPL,2026/27,ENTEBBE-vs-LUGAZI,3,24,ENTEBBE,LUGAZI,09/09/2026,04:00,"Hamz Stadium-Nakivubo,",200,1 h 52 min,0,1,Ssemeere Asadu,001317M85,Kyamanywa Tomas Kalangira,042941M95,Happy Badru,031546M99,Samba Hassan,058487M03,Kimbugwe Robert,000743M83,Kalyango Ali,031581M73
UPL,2026/27,POLICE-vs-UPDF,3,25,POLICE,UPDF,10/09/2026,04:00,Kira Police Arena –,,1 h 51 min,0,0,Outeke Daniel Moses Uhuru,026359M97,Mawerere Musa,058307M96,Mbabali Samuel,026605M93,Duula Joshua,031939M95,Hood Kiwanuka Sumaya,008461F90,,
